majorSeq,major,interest,property,공통과목,일반선택과목,진로선택과목,lClass,class_type
10,간호학과,"인체나 질병, 생명 등에 대한 관심이 있고, 남을 도와주는 것을 좋아하는 사람이면 좋습니다. 간호학은 기초 의학 분야를 공부하기 때문에 생물이나 화학 등의 교과목을 잘해야 하고, 병원에서 다양한 사람과 아픈 환자들을 만나고 함께 생활해야 하기 때문에 대인 관계 능력이 좋아야 합니다.",신체적으로나 정신적으로 건강하게 일생을 살아가는 것은 가장 큰 복이라고 할 수 있습니다. 아픈 사람을 돌보며 다른 사람을 도우며 사는 삶에 대해 배울 수 있는 곳이 간호학과입니다. 과거에는 여성들만 진학하는 학과라는 편견이 있었지만 남성들도 점차 많이 진학하고 있습니다.,"영어, 과학, 윤리","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 생명과학Ⅰ, 화학Ⅰ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학","생명과학Ⅱ, 화학Ⅱ",의약계열,이과계열
17,건축공학과,"평소 주변에서 흔히 볼 수 있는 다양한 건축물에 대해 관심이 있다거나. 사진 또는 그림 그리기를 좋아하는 경우 건축계획과 건축설계 과목을 배우는데 도움이 됩니다. 건축공학은 구조역학, 재료공학, 각종 시험 등 수학 및 물리적인 지식을 많이 요구하는데 학교에서 수학이나 물리, 화학 등의 과목을 잘하면 도움이 됩니다. 건축설계나 구조분석 등을 위해 Auto CAD, 3D Max, 스케치업, 레빗 등과 같은 PC용 전문 프로그램을 많이 사용하는데 평소 PC 사용에 익숙하고 새로운 프로그램을 이용 하는 것에 두려움이 없으면 도움이 됩니다.","건축공학은 우리 주변에서 흔히 볼수 있는 주택ㆍ아파트, 학교, 사무실, 스포츠 경기장 등 여러 형태와 용도를 가진 하나의 건축물이 만들어지기까지 필요한 기술과 방법을 배우는 학문이라 볼 수 있습니다. 최근에는 건축과 관련된 경제, 경영, 건설IT 등 융복합 내용까지 다루고 있습니다. 이에 반해 건축학과는 공학적 지식과 함께 인간의 문화와 역사, 예술사와 철학등을 포함한 문화ㆍ사회적인 분야까지 보다 포괄적으로 배우는 것이 다른 점이라 할 수 있습니다.  ","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 사회ㆍ문화<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 사회문제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반",공학계열,이과계열
20,건축학과,"건축은 일상생활에 밀접한 관계를 갖고 있어 문화와 예술을 반영하므로, 사회현상이나 문화?예술과 관련된 분야에 폭넓은 관심을 가지고 있으면 좋습니다. 건축 공간을 상상하고 구성해 볼 수 있는 공간 지각력,과 건축물의 실내외 구성에 필요한 미술 감각, 그리고 사용 목적에 맞는 건축물을 만들기 위한 여러 분야에 대한 폭넓은 관심과 자료수집 능력이 필요합니다. 건축물을 설계하는데 필요한 다양한 프로그램을 쉽게 배울수 있도록 컴퓨터 활용능력도 갖추면 좋습니다.","건축ㆍ건설 기술은 우리 생활과 삶의 방식을 기초로 빠르게 발전하여 다양화, 첨단화, 정보화되고 있습니다. 건축 설계에 따른 구조 설계, 건축 시공과 건축물의 관리까지 전 분야에 걸쳐 ICT 기술을 활용하고 있습니다. 최근에는 BIM(Building Information Modeling) 설계, 증강현실(AR)과 가상현실(VR)을 이용한 건축 설계, 3D프린터를 활용한 건축 3D모델링, 드론을 활용한 건축 측량, 사물인터넷(IoT)을 활용한 건축 공간 구성, 인공지능(AI)을 활용한 건축 법규 검토 등 최신 기술이 건축학과에 접목하여 사용되고 있습니다.","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 사회ㆍ문화<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 사회문제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반",공학계열,이과계열
21,게임공학과,"PC나 모바일, 게임 기기를 이용한 게임을 좋아하고 특히 게임을 직접 개발 하는 것에 흥미를 가진 사람에게 유리합니다. 게임 소프트웨어를 개발하기 위해서는 프로그래밍 개발 언어를 배워야 하는데 이에 필요한 논리적인 사고능력과 게임기획자, 게임 디자이너와 함께 일하는 만큼 팀에서 의사소통하면서 역할을 할 수 있는 능력이 필요합니다. ","게임공학은 스마트폰, 게임콘솔, VR기기, 컴퓨터 등 다양한 기기에서 작동하는 게임개발에 필요한 프로그래밍 방법과 게임 기획에 대해 배우게 됩니다. 게임 기획은 크게 전반적인 게임구성과 규칙을 만드는 시스템 기획자와 게임의 난이도, 사용자의 플레이 패턴 등을 기획하는 레벨기획자로 구분되기도 합니다. 게임기획부터 개발, 디자인에 이르기까지 게임과 관련된 폭넓은 지식을 배우는 것이 게임공학과의 특성이라 할 수 있습니다.","수학, 과학, 예술, 생활ㆍ교양, 사회, 국어","수학ㆍ과학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계, 물리학Ⅰ, 지구과학Ⅰ<br>예술ㆍ사회교과 : 미술, 연극, 음악, 사회문화, 생활과 윤리, 세계사, 경제<br>생활ㆍ교양교과 : 정보, 심리학, 논술, 인문학적 감성과 역사이해, 문학적 감성과 상상력","미술창작, 미술/음악 감상과 비평, 사회문제 탐구, 고전 읽기, 융합 과학, 지식재산 일반, 창의 경영, 수학탐구 과제, 기하",공학계열,이과계열
30,고분자공학과,"평소 사물에 대한 관심이나 재료와 재질에 대해 알아보길 좋아하고, 각종 측정이나 반복적인 실험과 같은 일에도 질리거나 지치지 않는 사람에게 적합합니다. 여러 공학적 문제를 해결하기 위한 창의력과 분석적 사고, 수리적 사고, 기초 과학 분야에 대한 지식이 필요합니다. ","고분자는 지구상에 존재하는 거의 모든 제품에 사용되는 재료로 자동차 타이어, 우주선 기체의 복합재료, 스텔스 항공기용 페인트, 유기반도체, 연료전지, 투명전극 등 가정용품 부터 첨단산업제품 까지 산업 전 분야에 걸쳐 광범위하게 사용되고 있습니다. 고분자 공학은 주로 고분자 재료와 특성, 관련 이론을 공부하는 것이 신소재 공학이나 재료공학과와 다른 점이라 할 수 있습니다.","수학, 과학, 기술ㆍ가정","수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반",공학계열,이과계열
35,공업화학과,"주변에서 볼 수 있는 각종제품의 재료에 대해 관심을 갖거나, 새로운 제품의 재질에 흥미를 느끼는 사람에게 적합합니다. 공업화학은 화학공정을 연구하거나 이에 필요한 장비를 설계하고 개발 하므로 분석적인 사고와 창의력이 필요하고 여러 분야의 공학기술자와 팀으로 작업하는 경우가 많으므로 대인관계능력도 필요합니다. ","새로운 제품개발, 제조기술 개발, 화학기술 분야 전반에서 전문화와 첨단화가 가속되고 있습니다. 고무줄처럼 늘어나는 고효율배터리, 전류가 통하는 유기 전자 소재인 OLED, 투명하거나 접을 수 있는 디스플레이 개발 등 공업화학과 새로운 화학재료의 발전은 지속되고 있습니다.  ","과학, 수학, 교양, 영어","과학교과 : 화학Ⅰ, 생명과학Ⅰ, 물리Ⅰ, 지구과학Ⅰ<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>교양교과 : 논리학, 철학, 환경, 논술, 보건학","화학Ⅱ, 물리Ⅱ, 융합과학, 과학사, 생활과 과학, 기하, 공학 일반, 사회문제 탐구",공학계열,이과계열
55,광학공학과,"광학기술을 활용하여 카메라, 레이저 등 각종 장비와 제품을 만드는 일을 하므로 새로운 것에 호기심이 많고, 지식을 배우고 익히는 것을 좋아하는 사람에게 유리합니다. 직접 배운 것을 실생활에 응용하여 생각할 수 있는 응용력과 창의력이 있으면 좋습니다. 그리고 물리, 수학 등의 기초 과목을 잘하면 유리합니다.","최근 5G인터넷이 서비스되고 6G인터넷 기술개발과 사물 인터넷 등 네트워크 분야는 빠른 속도로 변화하고 있습니다. 또, 정밀한 가공 기술로 다양한 제품을 생산할 수 있는 레이저 기술, 대용량 데이터를 먼 곳까지 빠른 속도로 보낼 수 있는 광 케이블 기술, 우주 관측에 필요한 우주용 렌즈 등에도 응용되고 있습니다. 따라서 앞으로 다양한 전자 ㆍ 통신 분야에서 광학 공학을 공부한 전문가에 대한 수요가 높을 것으로 예상됩니다.","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반",공학계열,이과계열
10142,교양공학부,"주변에서 흔히 볼 수 있는 자동차, 각종 제품, 건물에 적용된 새로운 공학기술에 대한 관심과 공한분야 전반에 대해 흥미를 가지고 좋아하는 사람에게 유리합니다. 공학분야는 수학, 과학, 화학, 물리 등의 과목을 잘하거나, 실험과 실습, 새로운 기술을 개발하는 등 이를 위한 창의력이나 논리적인 사고능력이 필요합니다.",교양공학부는 공학계열 내의 다양한 전공학과에 대한 전문과정의 기초를 닦는 것을 목적으로 하기 때문에 저학년일때는 전반적인 공학 분야에 공통된 기초 과목을 수강하다가 학년이 올라갈수록 특정 공학 전공을 선택할 수 있는 과정으로 구성된 학부입니다.,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 세계사, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 경제수학, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구",공학계열,이과계열
10144,교양생활과학부,"사람들의 실생활과 밀접한 연관을 지닌 의식주를 다루는 학과이기 때문에 기본적으로 사람들에 대한 관심을 지녀야 하며, 자신이 어느 분야에 흥미를 지니고 있는지 살펴볼 필요가 있습니다. 고학년에 진학하였을 때 식품영양, 의류, 아동가족학 등의 세부 전공을 선택해야 하고 실기와 연관된 부분이 많기 때문에 손재주를 갖추면 도움이 될 수 있습니다.  ","아동ㆍ가족, 가족자원관리ㆍ소비자, 식품ㆍ영양ㆍ단체급식, 패션디자인ㆍ패션비즈니스ㆍ의류과학에 관련된 기초이론과 전문지식을 교육함으로써 각 영역에서 필요로 하는 전문인 양성을 목표로 합니다. ","과학, 생활ㆍ교양, 사회","과학교과 : 생명과학Ⅰ, 화학Ⅰ, 물리Ⅰ<br>생활ㆍ교양교과 : 기술가정, 정보, 보건학, 환경, 심리학, 교육학, 실용 경제<br>사회교과 : 사회문화, 생활과 윤리, 정치와 법","생명과학Ⅱ, 화학Ⅱ, 융합과학, 생활과 과학, 농업생명과학, 가정과학",자연계열,이과계열
10146,교양자연과학부,과학적 기본원리를 이해하고 창의력과 문제해결능력을 지닌 학생으로서 자연과학에 대해 관심과 소양을 지니고 있지만 뚜렷한 분야를 아직 정하지 못한 학생이라면 관심가질 수 있습니다. ,"대학에 입학할 때 전공을 확정하기보다는 1학년 과정에 주로 인문과학, 사회과학, 자연과학 및 예체능의 각 계열에 속하는 과목을 균형 있게 편성한 일반 교양과목과 일부 전공기초 과목을 수강하고, 상위 학년으로 진급함에 따라 점차 개인의 흥미 혹은 적성을 고려한 전공 영역 과목을 수강함으로써 대학 3, 4학년 때 본인의 최종적인 전공을 확정하는 ‘학부제’를 적용하는 방식입니다.","사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 사회문화, 생활과 윤리<br>생활ㆍ교양교과 : 심리학, 환경","여행지리, 사회문제 탐구",자연계열,이과계열
61,교통공학과,"교통수단(자동차, 지하철, 기차, 비행기)에 대한 관심과 교통 시스템 체계 등에 대한 호기심과 관심이 있는 사람에게 좋습니다. 평소 우리 사회의 사물이나 상황을 거시적으로 볼 줄 알고, 다양한 문제를 논리적으로 생각하고 판단하고 해결할 수 있는 능력이 있으면 좋습니다.","교통공학과는 교통 문제의 근본적인 원인을 파악하고 문제 해결을 위한 여러 방법과 체계를  배우는 학과입니다. 최근에는 자율주행차, 초고속 인터넷, 빅데이터 및 인공지능을 활용한 교통 인프라 구축, 지능형 교통 체계 마련, 미래 교통과 관련된 다양한 연구 등 4차 산업 핵심 기술과 접목되고 있습니다. ","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용 수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구",공학계열,이과계열
10038,국방기술학과,"전기나 전자분야, 기계장치들을 전자적으로 조종하는 것을 좋아하는 사람에게 유리합니다.  
새로운 전술이나 무기를 개발하기 위해 여러 분야의 기술을 융합하여 창의적으로 생각하는 능력이 필요힙니다. ","국방기술학과는 무기체계의 연구개발, 생산, 운용, 유지와 정비에 기여할 실무형 기술 인재 양성을 교육목표로 하고 있습니다. 최근에는 4차산업 관련 기술을 국방기술 분야에 빠르게 적용하고 있습니다. 해안경계용 수직이착륙 드론, 원거리 정찰용 소형무인기, 무인무기체계 기술개발, VR활용 군사훈련 등 다양한 기술개발이 이뤄지고 있습니다. ","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반",공학계열,이과계열
79,금속공학과,"평소 흔히 볼 수 있는 각종 사물의 재료에 대해 호기심과 관심이 많은 사람에게 유리합니다.  
사물을 이루는 재료들에 대해 체계적으로 분석할 수 있는 능력과 수학, 화학, 물리 등 이공계 기초 과목을 잘하는 사람에게 유리합니다.","재료공학은 금속재료, 세라믹재료, 고분자재료 등의 재료 전반에 대해 다루는데 이중 금속재료를 위주로 배우는 학과가 금속공학과라 할 수 있습니다. 금속공학과는 다양한 금속 재료들의 성질을 이해하고 조합하여 새로운 금속 소재를 개발하는 이론을 배우고 연구합니다. 최근에는 3D프린터에 사용되는 금속 재료의 개발, 꿈의 탄소 소재로 불리는 그래핀의 개발 등 앞으로도 금속공학과의 전망은 밝을 것으로 예상됩니다. ","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반",공학계열,이과계열
86,기계공학과,"평상시 기계장치, 자동차, 전기, 전자 등 기술 분야에 관심을 갖거나 흥미를 느끼는 경우에 유리합니다. 
기계공학의 기본이 되는 수학과 물리학을 잘하며, 기계의 작동 원리에 대한 논리력, 도면을 입체로 생각해 볼 수 있는 공간지각력과 이해력이 높으면 좋습니다.","최근에는 4차산업혁명 관련 기술인 인공지능과 로봇 기술, 빅데이터 및 클라우드 컴퓨팅 기술을 활용한 자동화 생산설비 개발과 자율주행 자동차와 선박 개발 등 대부분의 산업에서 기계공학 기술이 활용되고 있습니다. 기계공학은 기계설계부터 제작, 재료에 대한 이해부터 열역학까지 기계공학의 전반에 대한 내용을 다루고 있어서 기계 설계를 중점적으로 다루는 기계설계공학과는 차이가 있습니다.  ","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반",공학계열,이과계열
88,기계설계공학과,"평상시 기계장치, 자동차, 전기, 전자 등 기술 분야에 관심을 갖거나 흥미를 느끼는 경우에 유리합니다. 
기계의 작동 원리에 대한 논리적 분석, 기계설계 도면을 입체적으로 생각해 볼 수 있는 공간 지각력과 도면에 대한 이해력이 높으면 좋습니다.","최근에는 기계설계분야에도 4차산업혁명 관련 기술이 활용되면서 설계한 기계장치를 3D프린터로 출력해 미리 제작해 보는 경우도 있습니다. 복잡한 기계도면을 사람 손으로 그리지 않고 컴퓨터를 활용해 CAD와 CATIA 등과 같은 전문설계 프로그램을 사용하기도 합니다. 기계설계공학은 기계 설계와 관련된 주요 이론과 실습을 하고, 기계공학은 기계설계, 제작, 금속재료에 대한 이해부터 열역학까지 기계공학 전반에 대한 내용을 다루고 있는 것이 두학과의 차이라 할 수 있습니다. ","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반",공학계열,이과계열
96,나노공학과,"나노기술을 이용해 새로운 것을 만드는 나노 공학 분야에 대해 관심이 있고 화학이나 수학 등 기초적인 과학 과목에 관심이 많은 사람에게 유리합니다. 나노 기술은 기존의 다양한 재료 분야에서 새롭게 적용되는 경우가 많으므로, 기존 재료에 대한 논리적인 이해와 새로운 나노 기술을 개발하는데 필요한 창의적인 사고능력, 반복적인 실험을 꾸준히 해낼 수 있는 끈기와 노력이 필요합니다.","나노공학은 화학, 화학공학, 생물학, 재료공학, 물리학, 의학, IT 등 다양한 분야를 연구 개발하는 기술로 융합적 성격을 가진 공학 분야라 할 수 있습니다. 나노 기술을 활용한 탄소소재 개발, 항체 진단 키트, 나노입자 섬유 등 새로운 소재 및 제품이 끊임없이 개발되고 있습니다.","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생명과학Ⅱ, 생활과 과학, 융합과학, 공학 일반",공학계열,이과계열
10049,냉동공조공학과,"평소 기계장치나 각종 설비, 특히 어떠한 장소나 공간 자체에 관심이 많은 사람에게 유리합니다. 냉동공조공학은 건축물 또는 공간의 도면을 보고 이해할 수 있는 공간지각능력과 다양한 문제를 기계, 건축, 설비, 공조장치, 배관 등의 관련 기술을 기반으로 해결하기 위한 지식과 논리적이고 합리적 사고 능력이 필요합니다. ","반도체나 첨단 제품을 만들기 위해서는 미세한 먼지 하나 없는 공간을 만들고 이 공간 안에서 제품 생산이 원활하게 이루어 질 수 있는 환경을 만들어야 합니다. 냉동공조 공학은 이러한 첨단 분야 뿐만 아니라 대형 선박이나 건물의 공조설비나 에어컨에 이르기까지 활용되는 분야가 다양합니다. 최근에는 사물인터넷, IT, 컴퓨터, 네트워크, 데이터 분석 기술이 개발되고 사용되고 있습니다.","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 경제수학, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생명과학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구",공학계열,이과계열
104,농공학과,"농업에 대한 관심과 애정을 지녀야 하며, 향후 직업인으로서 농촌에서 일할 기회가 많기 때문에 친화력, 의사소통 능력이 필요합니다. 공학적 지식과 기술의 응용이 필요한 분야임으로 기계를 다루는 손기술이나 관련 기초 소양이 있으면 도움이 됩니다. ","학습 내용상 크게 농업토목과 농업기계 두 분류로 구분되며 최근에는 학교에 따라 전공을 세부적으로 구분하거나 또는 공학 관련 학과로 통합하여 운영하기도 합니다. 최근에는 농업토목공학, 지역시스템공학, 지역건설공학와 같은 다양한 명칭으로 개설되어 있는 경우가 많다는 점을 참고할 필요가 있습니다. ","과학, 윤리, 교양, 수학","과학교과 : 화학Ⅰ, 생명과학Ⅰ<br>사회교과 : 생활과 윤리, 사회문화, 윤리와 사상<br>교양교과 : 환경, 보건학, 철학, 생활과 창의성, 논술","생명과학Ⅱ, 융합과학, 생활과 과학, 화학Ⅱ, 농업생명과학, 사회문제 탐구",자연계열,이과계열
111,대기과학과,"자연 현상에 관심을 지니고 대기 현상이 일어나는 원인을 파악하고자 하는 호기심을 지녀야 합니다. 대기오염이나 미세먼지 등과 같은 문제에 대한 개선 방안을 도출하기 위한 탐구 정신도 필요합니다. 전공 학습에 있어서 물리, 자연, 수학 관련 지식이 필요하기 때문에 관련 교과에 대한 역량과 적성이 있으면 도움이 됩니다. ",최근 인간의 경제ㆍ사회 활동에서 기상의 중요성이 크게 인식되고 대기 오염이 날로 심각해지고 있기에 대기에 관한 연구의 필요성은 더욱 커지고 있습니다. ,"과학, 수학, 교양, 영어","과학교과 : 지구과학Ⅰ, 물리Ⅰ, 화학Ⅰ, 생명과학Ⅰ<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>교양교과 : 환경, 보건학, 논술","지구과학Ⅱ, 융합과학, 생활과 과학, 과학사, 기하, 공학 일반, 수학과제 탐구",자연계열,이과계열
