majorSeq,major,interest,property,공통과목,일반선택과목,진로선택과목,lClass,class_type
118,도시공학과,"평소 도시의 기능이나 역할에 관심이 많고, IT분야< 토목, 건축, 기계와 관련된 분야에 관심이 있는 경우 유리합니다. 그리고 법, 행정, 사회, 경제와 같은 사회 과목에도 흥미가 있으면 좋습니다. 도시공학은 사람들이 생활하는 도시를 계획하고 설계하는 일을 하므로 공간 지각 능력이 필요하며, 다양한 도시문제를 해결하기 위해 여러 분야에 대한 관심과 창의력을 가지고 도시 공간을 생각 할 수 있는 능력도 필요합니다. ","전 세계 인구의 50%, 우리나라 인구의 91.8%는 도시에 살고 있습니다. 도시공학과는 새로운 도시를 계획하고 만들거나 기존 도시의 특정한 지역에 집중된 인구를 여러 지역으로 나누는 일을 합니다. 최근에는 최신IT기술과 인공지능, 빅데이터 등을 활용하여 스마트 횡단보도, 인공지능 기반 CCTV 서비스,. 개인 이동수단 스마트 보관소등 도시에 IT기술을 활용한 사례도 늘고 있습니다.  ","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 세계사, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 경제수학, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구",공학계열,이과계열
126,동물자원학과,"평소에 동물에 관심을 가지고 있고 실험ㆍ실습에 흥미가 있다면 이 학과에 관심을 가져볼만 합니다. 동물을 자원으로 다루는 만큼 영농ㆍ축산업과 밀접한 관련이 있기 때문에 농촌에 대한 애정과 관심이 필요합니다. 생명과 관련된 전공이므로 화학, 생물과 같은 기초 과학 과목을 좋아하고 잘하면 좋습니다. ","동물자원학과는 동물학, 화학, 경제학뿐만 아니라 동물생명공학, 동물환경공학, 동물사료공학, 생리활성 및 기능성 물질의 이용에 관한 지식을 배워 활용하기 때문에 다양한 분야에 응용되어 적용할 수 있습니다. ","과학, 교양, 사회, 수학","과학교과 : 생명과학Ⅰ, 화학Ⅰ<br>생활ㆍ교양교과 : 환경, 보건학, 논술, 생활과 창의성, 정보<br>사회교과 : 사회문화, 생활과 윤리, 정치와 법","생명과학Ⅱ, 융합과학, 생활과 과학, 화학Ⅱ, 농업생명과학, 고전과 윤리",자연계열,이과계열
532,디지털콘텐츠학과,"스마트폰, 노트북, 텔레비전 등 다양한 기기를 통해 디지털 미디어를 접하게 되는데 이러한 콘텐츠의 제작과정이나 기획하는 것에 관심이 많은 사람에게 유리합니다. 디지털콘텐츠 제작에 필요한 최신 제작기법, 디지털기술이나 트렌드 등에 대한 지식과 새로운 콘텐츠를 만들어 낼 수 있는 창의력과 기획력, 다양한 분야의 전문가와 함께 일할 때 반드시 필요한 대인관계 능력과 의사소통 능력이 필요합니다.","일상생활에서 가상 현실, 증강 현실, 스마트폰, 4D영화, 게임, 디지털 음악 등의 디지털 콘텐츠 산업이 차지하는 비중이 점차 증가하고 있습니다. 세계 및 국가 경제에 있어서도 디지털 콘텐츠는 매우 중요한 역할을 하고 있습니다. 최근 우리나라가 제작한 드라마나 영화, 음원 등의 콘텐츠가 전 세계적으로 인기를 얻으면서 콘텐츠의 기획 및 제작 분야에 대한 관심이 커지고 있습니다. ","수학, 과학, 예술, 생활ㆍ교양, 사회, 국어","수학ㆍ과학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계, 물리학Ⅰ, 지구과학Ⅰ<br>예술ㆍ사회교과 : 미술, 연극, 음악, 사회문화, 생활과 윤리, 세계사, 경제<br>생활ㆍ교양교과 : 정보, 심리학, 논술, 인문학적 감성과 역사이해, 문학적 감성과 상상력","미술창작, 미술/음악 감상과 비평, 사회문제 탐구, 고전 읽기, 융합 과학, 지식재산 일반, 창의 경영, 기하, 수학탐구 과제",공학계열,이과계열
10116,로봇공학과,"로봇공학은 기계나 로봇을 다루는 일이므로 기계, 로봇, 인공지능과 같은 분야를 좋아하는 사람에게 유리합니다.  다양한 사물에 대한 호기심과 창의력, 꾸준한 실험과 방법을 찾는 능력을 갖춘 사람에게 적합합니다. 물리, 수학 등 기초 과목을 잘하면 도움이 됩니다.","로봇공학은 자동차나 항공기, 우주선등 첨단제품과 일반 가전제품을 만드는 공장에서 쓰이는 로봇, 우주를 탐사하고 자료를 수집하는 우주 로봇 등 다양한 로봇에 대해서 연구합니다. 현재 로봇은 인공지능 기술의 발달, 사물인터넷, 빅데이터, 드론, 무인 자동차, 스마트 팩토리 등 관련 기술이 발달하면서 로봇이 활용될 분야도 점점 확대되고 있습니다. ","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생명과학Ⅱ, 생활과 과학, 융합과학, 공학 일반",공학계열,이과계열
10120,말특수동물학과,"평소에 말이나 반려동물, 야생동물 등에 관심이 있고, 동물들과 지내는 것에 흥미가 있다면 이 학과에 관심을 가져 볼 만합니다. 생물이나 화학 등 자연과학 분야에 재능이 있다면 학과 공부에 도움이 됩니다. 특히, 동물에 대한 친숙함과 친화력을 지니고 있다면 졸업 후 해당 분야 직업인으로서 생활하는 데 좋습니다.","사회가 고도화되면서 말 산업과 특수동물(반려동물,야생동물, 실험동물) 산업이 차세대 산업으로 부각되고 있습니다. 특수동물은 축산 농가의 고소득을 창출하는 등 새로운 동물자원으로 재평가되고 있으며 말ㆍ특수동물학과의 희소성도 긍정적으로 주목받을 전망입니다.","영어, 수학, 과학, 윤리","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>과학교과 : 생명과학Ⅰ, 화학Ⅰ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학","생명과학Ⅱ, 화학Ⅱ",자연계열,이과계열
149,멀티미디어학과,"평소 최신 유행이나 문화현상에 대해 관심이 많고 문화와 관련된 영화 감상, 독서, 미술 및 각종 전시나 공연 관람 등을 문화와 관련된 활동을 좋아하는 사람에게 유리합니다. 새로운 콘텐츠를 만들기 위한 창의적이고 유연한 사고와 아이디어를 영상, 웹툰, 캐릭터, 애니메이션 등과 같은 다양한 콘텐츠로 만들어 내고 조화롭게 구성해 낼 수 있는 창의력과 예술 시각 능력이 필요합니다.","멀티미디어 기술은 컴퓨팅 기술과 정보통신 기술의 발전에 따라 영향을 많이 받는 분야입니다. 3D 모델링, 게임, 애니메이션, 가상 및 증강현실 콘텐츠, 실시간 인터넷 방송 콘텐츠 제작 등 매우 다양한 분야에 관련이 있습니다. 최근에는 멀티미디어 콘텐츠를 손쉽게 제작 할 수 있는 소프트웨어 개발에 대한 비중도 커지고 있습니다. 앞으로도 멀티미디어에 대한 수요는 계속 이어질 것으로 예상됩니다.","수학, 과학, 예술, 생활ㆍ교양, 사회, 국어","수학ㆍ과학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계, 물리학Ⅰ, 지구과학Ⅰ<br>예술ㆍ사회교과 : 미술, 연극, 음악, 사회문화, 생활과 윤리, 세계사, 경제<br>생활ㆍ교양교과 : 정보, 심리학, 논술, 인문학적 감성과 역사이해, 문학적 감성과 상상력","미술창작, 미술/음악 감상과 비평, 사회문제 탐구, 고전 읽기, 융합 과학, 지식재산 일반, 창의 경영, 기하, 수학탐구 과제",공학계열,이과계열
151,메카트로닉스공학과,"평소에 기계, 전기, 전자 및 컴퓨터, 로봇, 무선조종, 각종 센서 등을 다루는 데관심이 많거나, 이러한 것들을 활용하여 제품을 개발하는 것에 관심이 있는 사람에게 유리합니다. 특히, 수학이나 과학 과목을 잘하거나 컴퓨터 프로그램에 대한 이해가 있고 다양한 분야의 기술을 활용 할 수 있는 융ㆍ복합적인 사고를 할 수 있는 사람에게 적합합니다.","메카트로닉스는 기계공학과 전자공학의 합성어입니다. 메카트로닉스공학과는 융합 학문적인 성격을 갖고 있어 여러 분야에 활용되고 있습니다. 반도체공학과 관련이 깊은 나노메카트로닉스공학과, 의료분야와 관련된 의용메카트로닉스공학과, 광학ㆍ전자ㆍ바이오와 관련된 광메카트로닉스공학과 등 다양한 학문과 융합된 학과라는 특성을 갖고 있습니다.    ","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반",공학계열,이과계열
10118,모바일시스템공학과,"스마트폰, 태블릿PC, 노트북, 각종 모바일 기기나 기능과 기술, 작동에 관심을 갖고 좋아하는 사람에게 유리합니다. 특히, 컴퓨터나 모바일 기기를 사용 특성을 이해하고 창의적인 아이디어를 내거나 프로그램을 설계하는 능이 있다면 좋습니다.","스마트 기기의 보급으로 모바일 앱을 통한 음식 주문, 택시 호출 및 예약, 식당이나 점포 예약, 온라인 쇼핑과 장보기 등 스마트 기기에서 일상생활에 필요한 거의 모든 것을 해결 할 수 있는 시대입니다. 이 학과는 이러한 기술발전과 시대 변화에 따라 2000년대 후반부터 신설되어 IT분야에서 응용 분야로 꾸준한 역할을 하고 있습니다. 스마트 기기는 제조 기술과 인터넷 기술은 계속 발전하고 있어 모바일 시스템 공학의 중요성도 계속 될 것으로 보입니다.","수학, 과학, 기술ㆍ가정","수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용 수학, 기하, 수학과제 탐구, 물리학Ⅱ, 생활과 과학, 융합과학, 공학 일반",공학계열,이과계열
21008,무인항공학과,"평소 드론에 취미가 있거나, 주변에 있는 다양한 기계들의 작동 원리에 대해 흥미가 있으면 좋습니다. 무인항공기와 관련된 기본적인 지식을 이해하고 논리적으로 생각할 수 있는 능력이 필요 합니다.","무인항공기는 군사, 재난 구조, 항공 촬영, 택배, 건축물 구조안전진단, 농업, 여가 활동 등에서 다양한 분야에서 활용범위가 커지고 있습니다. 최근 국내에서 개발한 태양광 무인항공기 운항시간이 32시간을 기록하였고, 무인 드론 택배 배송 서비스가 도입되는 등 무인항공기 국내 기술과 서비스도 계속 발전하고 있습니다. 무인항공 분야의 기술발전과 다양한 분야에 활용되면서 창의성을 갖춘 인재를 요구하고 있습니다. ","수학, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용 수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 농업 생명과학",공학계열,이과계열
172,물류시스템공학과,"평소에 물류분야와 각종 재화의 효율적인 이동 경로를 생각하는 것에 흥미가 있고, 국내 및 해외의 곳곳을 이동하여 생활하는 것에 흥미가 있는 사람에게 유리합니다. 특히, 수학적 계산과 컴퓨터 조작에 필요한 기술을 갖고 있거나, 국외 기업체나 해외 물류와 관련된 활동을 위한 외국어 능력이 요구되기도 합니다.","국내의 물류 기반은 어느 정도 갖추어져 있지만, 물류시스템의 효율화에 대한 기술 발전은 꾸준히 이루어 지고 있습니다. 최근에는 인공지능 기술을 활용해 물류 수요를 미리 예측하고 관련 상품을 미리 확보해 고객에게 전달하는 시스템이 개발되어 활용될 정도로 물류 시스템은 계속 성장하고 있습니다. ","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 경제수학, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생명과학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구",공학계열,이과계열
176,물리치료학과,"물리치료사는 병원에서 환자를 대하는 시간이 많은 직업으로 다양한 사람들과 대면해야 하므로 평소 대인관계가 원만하고 사람들과 의사소통이 원만한 사람이면 좋습니다. 인체의 움직임에 대해서 많이 배우고, 학습 내용이 실제 현장에서 활용되는 경우가 많기 때문에 다양한 환경에 대한 적응력이 필요합니다.","인간의 수명 연장으로 은퇴 후 여가생활에 대한 관심이 높아지면서 물리치료에 대한 수요가 점진적으로 늘어나고 있습니다. 이와 더불어 노인 및 장애인 복지 문제, 근로자들의 산업 환경 및 직업병 문제, 건강관리 등과 함께 인체의 회복을 다루는 전문 분야로 물리치료학이 떠오르고 있습니다.","영어, 과학","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 생명과학Ⅰ<br>체육교과 : 체육, 운동과 건강","생명과학Ⅱ, 스포츠 생활, 체육 탐구",의약계열,이과계열
177,물리학과,"자연 현상에 대해 끊임없는 호기심과 열정을 가진 사람이면 좋습니다. 물리계의 운동을 이해할 수 있는 논리적인 사고와 수리력이 필요하며, 눈에 보이지 않는 세계를 이해할 수 있는 창의적인 사고, 주위 현상에 대한 관찰력을 갖춘 학생에게 유리하며, 다양한 분야를 잘하기보다, 흥미 있어 하는 특정한 분야를 깊게 파고드는 성향의 학생에게 적합합니다. ",물리학은 모든 자연 현상에서 나타나는 일들을 과학적으로 증명하고 법칙으로 설명할 수 있기 때문에 과학의 기본이라고 할 수 있습니다. 과학 기술의 혁신을 위하여 기초 과학과 응용 기술을 합치는 것이 중요해지면서 물리학의 중요성이 더욱 강조되고 있습니다. ,"과학, 수학, 교양, 정보, 영어","과학교과 : 물리Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>생활ㆍ교양교과 : 정보, 논리학, 철학, 논술","물리학Ⅱ, 융합과학, 과학사, 생활과 과학, 수학과제 탐구, 기하, 경영수학",자연계열,이과계열
21010,미생물학과,"미생물학을 전공하기 위해서는 생명현상에 큰 관심을 가져야 하며, 보이지 않는 작은 생명체의 비밀을 탐구하려고 하는 의지가 있어야 합니다. 미생물의 모양과 생물학적 특성을 조사하고 탐구하기 위해서는 신중하고 세심해야 하는 동시에 관찰을 즐기고 자료를 잘 정리하는 습관이 필요합니다. ","지구상의 많은 종류의 미생물중에 지금까지 알려진 것은 1%에 불과하다고 합니다. 미생물은 인간의 생활과 많은 연관성이 있기 때문에 중요한 분야 중 하나이며, 아직도 개척해야 할 부분이 무궁무진하다고 볼 수 있습니다. ","과학, 윤리, 교양, 수학","과학교과 : 생명과학Ⅰ, 화학Ⅰ<br>사회교과 : 생활과 윤리, 사회문화, 윤리와 사상<br>교양교과 : 보건학, 환경, 철학, 생활과 창의성, 인문학적 감성과 역사 이해","생명과학Ⅱ, 융합과학, 생활과 과학, 화학Ⅱ, 농업생명과학, 고전과 윤리",자연계열,이과계열
195,반도체학과,"평소 컴퓨터나 전자제품의 작동원리와 부품구성, 새로운 제품이나 구현 기술 등에 관심이 많은 사람에게 유리합니다. 반도체 공학은 새로운 소재 개발이나 기존 제품의 성능을 개선하기 위한 연구개발과 실험을 하는 일이 많으므로 논리적인 사고 능력과 꼼꼼하고 차분한 성격의 학생에게 적합합니다. ","반도체는 각종 전자제품이 작동할 수 있도록 하는 핵심 부품으로 메모리 반도체와 비메모리(시스템) 반도체로 구분됩니다. 메모리 반도체는 RAM, ROM, Flash Memory 등이 있고, 비메모리 반도체는 CPU, GPU, MPU, AP, CMOS 등이 있습니다. 우리나라는 메모리 반도체 분야에서 전세계 시장 점유율 70% 이상차지하고 있고, 비메모리 반도체 분야는 투자를 확대하고 있어 반도체학과의 전망은 밝을 것으로 예상됩니다.","수학, 영어, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>영어교과 : 영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 수학과제 탐구, 영어권 문화, 물리학Ⅱ, 화학Ⅱ, 공학 일반",공학계열,이과계열
10012,방사선학과,"방사선학은 자연과학이 기초가 되므로 생물학, 물리학 등의 과목에 흥미를 가지며, 방사선을 이용하여 질병을 진단하고 치료를 하므로 기계장비 조작에 관심이 있는 학생이면 좋습니다. 병원현장에서 검사 과정에 응용하기 위해서는 세심한 주의력, 정확성, 침착함을 갖추는 것이 중요합니다.","방사선학은 치료방사선 분야에서 암 치료 등에 많이 활용되면서 의학기술의 발전과 함께 발전하고 있습니다. 방사선 촬영 및 투시, CT(컴퓨터단층촬영), MRI(자기공명영상), 초음파 등의 다양한 첨단장비를 이용한 진단방사선분야 또한 질병 진단에 꼭 필요한 기술로 자리 잡았습니다.","영어, 과학","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 화학Ⅰ, 생명과학Ⅰ<br>교양교과 : 심리학","화학Ⅱ, 생명과학Ⅱ",의약계열,이과계열
210,보건관리학과,"여러 사람들을 만나 그들의 건강 상태를 살펴주어야 하므로 사람들을 만나고 대화하기를 좋아하는 사람이면 좋습니다. 상황판단력과 순발력이 필요하며, 상담, 심리 등에 관한 지식과 기본적인 의료 상식이 있어야 합니다. 건강을 저해하는 요인들을 연구하고 적용하는 분야이므로 안전이나 위생을 잘 이해하는 학생에게 적합합니다.","사회가 발전함에 따라 국민의 건강에 대한 인식이 높아져 보건ㆍ복지 서비스의 요구가 늘어나고, 보건 의료 기관에서도 고도의 전문성을 갖춘 보건ㆍ의료 행정 책임자를 요구하고 있습니다. 건강증진과 삶의 질 향상에 대한 요구 증가와 함께 보건전문인에 대한 수요 역시 날로 증가하고 있습니다.","영어, 수학, 과학, 정보","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>과학교과 : 화학Ⅰ, 생명과학Ⅰ<br>기술ㆍ가정교과 : 정보","화학Ⅱ, 생명과학Ⅱ. 지식 재산 일반",의약계열,이과계열
10119,사이버국방학과,"인터넷이나 컴퓨터 정보기술, 사이버 해킹 대회, 컴퓨터 보안 문제, 컴퓨터 백신 개발 등에 흥미가 있는 사람에게 유리합니다. 컴퓨터 프로그래밍 언어에 대한 기초 지식을 가지고 있거나 각종 프로그램 개발 논리를 평소에 생각해보는 노력이 필요하고. 국방 관련 분야이므로 투철한 국가관과 국방에 대한 지식도 필요합니다.","디도스 공격, 금융 전산망 해킹, 개인정보의 대규모 유출사고 등 사이버 정보보안 관련 문제가 발생하면서 국가적으로도 정보보안에 대한 지원과 관심이 높아지고 있습니다. 사물인터넷, 무인자동차, 정찰용 드론 등 정보기술 발전이 가속화 될수록 정보 보안 인력에 대한 수요도 늘어날 전망입니다.","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용 수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구",공학계열,이과계열
245,산림자원학과,"평소에 식물 및 에너지 등 자원에 대해 관심이 있거나, 실험ㆍ실습에도 흥미가 있다면 이 학과에 관심을 가져 볼 만합니다. 특히 기초 과학 분야에 능력이 있고 공학적인 마인드가 있다면 이 학과 공부에 도움이 됩니다. 자원에 대한 분석과 연구를 위해서는 실험ㆍ실습 능력이 필요합니다.  ","현대 사회에서 참살이(well-being)와 여가에 대한 관심이 높아진 만큼, 산림 자원이 주는 혜택을 지속 가능하게 유지하는 것은 중요한 문제가 되었습니다. 산림자원학과는 무궁무진한 자원을 지닌 산림에 대해 연구하고 보호ㆍ관리한다는 측면에서 우리 모두에게 중요한 기능을 하는 전공이라고 볼 수 있습니다.  ","과학, 교양, 사회, 영어","과학교과 : 생명과학Ⅰ, 화학Ⅰ, 지구과학Ⅰ, 물리Ⅰ<br>교양교과 : 환경, 보건학, 논술, 철학, 생활과 창의성, 진로와 직업, 실용경제 <br>사회교과 : 한국지리, 세계지리, 경제, 생활과 윤리","생명과학Ⅱ, 융합과학, 생활과 과학, 화학Ⅱ, 농업생명과학, 공학일반, 창의경영, 여행 지리, 실용수학",자연계열,이과계열
250,산업공학과,"평소 수치적인 계산을 통한 합리적인 의사결정을 좋아하거나, 일의 처리 과정을 효율화하는 것에 흥미가 있는 사람은 관심을 가져 볼 만합니다. 특히 공학과 경영의 적성을 모두 가진 사람에게 유리합니다. 수리에 능하고 체계적으로 일의 프로세스를 설계하는 능력이 있는 사람에게 적합합니다.","산업공학을 공과대학 내의 경영학이라고 합니다. 이는 현장의 산업 기술을 공학적 기법으로 경영하는 방법을 탐구하기 때문입니다. 이 학과는 전통적인 공학과는 다르게 특정 산업에 국한되지 않고, 전 분야에 사용되는 시스템적 접근법과 분석적 방법론을 배우는 곳입니다.","수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리 <br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 경제수학, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구, 창의 경영, 지식 재산 일반",공학계열,이과계열
